Company,Address,TIF ID,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
The Wooden Spoon,5047 N Clark,T-070,Clark/Montrose,4/24/03,"$100,000.00 ","$50,000.00 ",Façade / Roof / HVAC / Tuckpoint
Japanese American Service Committee,4427 N Clark,T-070,Clark Montrose,9/28/11,"$59,475.46 ","$29,737.73 ",Roofing
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,6/3/11,"$19,500.00 ","$16,087.50 ","façade, guard rails, windows, interior roling shutters"
Sethness-Greenleaf Inc,1826 N Lorel,T-071,Galewood/Armitage Industrial,4/18/11,"$55,384.40 ","$27,692.20 ","fencing, flooring"
Sethness-Greenleaf Inc,1826 N Lorel,T-071,Galewood/Armitage Industrial,3/29/11,"$37,467.03 ","$18,733.52 ","pavng, fencing, warehouse flooring"
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,8/16/10,"$28,448.00 ","$14,224.00 ","roof, floor, windows, bathroom, sign, drywall, sprinkler system"
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,6/7/10,"$34,879.00 ","$17,439.50 ","roof, floor, windows, bathroom, sign, drywall, sprinkler system"
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,5/4/10,"$41,150.00 ","$20,575.00 ","roof, floor, windows, bathroom, sign, drywall, sprinkler system"
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,3/13/10,"$40,682.00 ","$20,341.00 ","Plumbing, Additional work on side wall, installation of window, door hinges, add. Concrete, new catch basin"
Magnus Screw Products Corp ,1818 N Latrobe,T-071,Galewood/Armitage Industrial,3/11/10,"$9,224.21 ","$4,612.11 ","lighting,"
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,3/11/10,"$20,000.00 ","$10,000.00 ",Electrical Work
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,3/3/10,"$20,000.00 ","$10,000.00 ",parking lot
Fun Incorporated ,2100 N Major,T-071,Galewood/Armitage Industrial,2/17/10,"$13,565.00 ","$6,782.50 ",tuckpointing
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,11/24/09,"$20,000.00 ","$10,000.00 ",TUCKPOINTING
A Gomez Tires & Wheels,5245-51 W Grand,T-071,Galewood/Armitage Industrial,10/21/09,"$40,000.00 ","$20,000.00 ",façade
Fun Incorporated ,2100 N Major,T-071,Galewood/Armitage Industrial,11/10/08,"$40,165.00 ","$20,082.50 ","Roof, tuckpointing, flashing, drain, aluminum coating"
ShowerWorks Inc,4835 W Grand,T-071,Galewood/Armitage Industrial,4/18/08,"$251,780.67 ","$125,564.00 ","Complete office buildout, electrical, plumbing, HVAC"
Magnus Screw Products Corp ,1818 N Latrobe,T-071,Galewood/Armitage Industrial,8/23/07,"$65,948.21 ","$31,944.00 ","Tuckpointing, windows/skylight, signage, gates"
Petra Manufacturing,6600 W Armitage,T-071,Galewood Armitage,10/25/11,"$39,744.00 ","$19,872.00 ","Roof, Lighting , windows, garage doors, leveling foundation, carpet, renovation of unused portion of the building"
La Fiesta Mexican Restaurant,3333 W 111th,T-073,111th Street/Kedzie Avenue Business District,3/29/11,"$215,000.00 ","$107,500.00 ","Purchase of Adjacent Property, iron fencing"
La Fiesta Mexican Restaurant,3333 W 111th,T-073,111th Street/Kedzie Avenue Business District,3/29/11,"$19,812.00 ","$9,906.00 ","Purchase of Adjacent Property, iron fencing"
David B Baptist DDS PC,3838 W 111th,T-073,111th Street/Kedzie Avenue Business District,7/13/10,"$1,577.00 ",$788.50 ,"windows, doors, ceiling"
Reed DL Property,3301 W 111th,T-073,111th Street/Kedzie Avenue Business District,6/11/10,"$298,473.00 ","$149,236.50 ","HVAC, plumbing, tuckpointing, flooring, bathroom, electrical, windows"
A Relaxed You Inc,11119-23 S Kedzie,T-073,111th Street/Kedzie Avenue Business District,6/11/10,"$30,672.00 ","$15,336.00 ","tuckpointing, roof, doors, room build-out, plumbing, sidewalk"
Pulliam Financial Services,3406 W 111th,T-073,111th Street/Kedzie Avenue Business District,6/7/10,"$2,479.95 ","$1,267.48 ",Install security cameras
A Relaxed You Inc,11119-23 S Kedzie,T-073,111th Street/Kedzie Avenue Business District,6/2/10,"$112,945.17 ","$50,000.00 ",Roof / Façade / Sign-Awnings / Masonry / HVAC / Electric / Plumbing / ADA compliance / retail space remodel
Judith Riedel,3750-54 W 111th,T-073,111th Street/Kedzie Avenue Business District,4/20/10,"$13,000.00 ","$9,750.00 ","storefront, doors"
Angie M Starr,11114-16 S Kedzie,T-073,111th Street/Kedzie Avenue Business District,3/23/10,"$7,490.00 ","$3,745.00 ","tuckpointing, roof"
Wheelwright Inc,3424 W 111th,T-073,111th Street/Kedzie Avenue Business District,11/25/09,"$3,379.00 ","$1,689.50 ",fencing
David B Baptist DDS PC,3838 W 111th,T-073,111th Street/Kedzie Avenue Business District,11/24/09,"$19,337.77 ","$9,668.89 ","HVAC, compressor, vacuum system, cabinets"
Steven Graves,3822 W 111th,T-073,111th Street/Kedzie Avenue Business District,7/2/09,"$5,500.00 ","$2,750.00 ",Parking lot paving
Steven Graves,3822 W 111th,T-073,111th Street/Kedzie Avenue Business District,7/2/09,"$10,559.00 ","$5,279.50 ",roof
Vista Family Medicine,10961 S Kedzie,T-073,111th Street/Kedzie Avenue Business District,10/15/08,"$766,458.64 ","$50,000.00 ",Complete Renovation
West End Tatas Pizza Inc,3019 W 111th,T-073,111th Street/Kedzie Avenue Business District,6/9/08,"$36,468.00 ","$18,234.00 ","roofing, fencing"
Face to Face Hair Design,3502 W 111th ,T-073,111th Street/Kedzie Avenue Business District,9/18/06,"$150,000.00 ","$50,000.00 ",Electric / interior renovation / plumbing / HVAC / Windows / etc
Wheelwright Inc,3424 W 111th,T-073,111th Street/Kedzie Avenue Business District,6/22/05,"$5,150.00 ","$2,575.00 ",HVAC
TNT Vending,3120 W 111th ,T-073,111th Street/Kedzie Avenue Business District,10/7/04,"$53,395.00 ","$35,355.28 ",Complete Renovation
Ritchie's Restaurant,3119-3123 W 111th,T-073,111th Street/Kedzie Avenue Business District,9/16/04,"$130,000.00 ","$50,000.00 ",New Façade / Doors / Windows / Hardwood floors / HVAC / ADA Restrooms
Cutrone Hair LLC,3118 W 111th ,T-073,111th Street/Kedzie Avenue Business District,10/20/03,"$200,000.00 ","$50,000.00 ",Floor / Windows / Doors / Signage / Tuckpoint
La Fiesta Mexican Restaurant,3333 W 111th,T-073,111th Street/Kedzie Avenue Business District,10/1/02,"$97,974.19 ","$45,496.44 ",Interior Rehab / Awning / Tuckpoint-Masonry / Electrical Rehab.
CLOSED,11125 S Kedzie,T-073,111th Street/Kedzie Avenue Business District,5/23/02,"$88,864.00 ","$47,634.00 ",Masonry / Floor Replacement / Plumbing / HVAC / Roof / Retail space remodel
Mt Greenwood Local Redevelopment Corp,3255-3257 W 111th,T-073,111th Street/Kedzie Avenue Business District,11/8/01,"$33,149.75 ","$16,574.87 ",Window-Door Replace / masonry / sign removal / awnings / exterior lighting / HVAC
Moylan Insurance Agency,3301-05 W 111th ,T-073,111th Street/Kedzie Avenue Business District,10/18/01,"$21,718.75 ","$10,859.38 ",Roof / Sign removal / Awnings
Angie M Starr,11114-16 S Kedzie,T-073,111th Kedzie,10/5/11,"$3,630.00 ","$2,272.50 ","cement work, gutters"
Windy Knitty LLC,5653 N Clark,T-074,Clark Street and Ridge Avenue,7/27/11,"$52,358.74 ","$39,269.06 ","framing, millwork, electrical, cabinetry, countertops, flooring, painting"
Clark St Dining Concern Inc,5721 N Clark,T-074,Clark Street and Ridge Avenue,6/2/11,"$144,741.45 ","$72,370.73 ",complete rehab
Plum Productions,1539 W Rosemont,T-074,Clark Street and Ridge Avenue,5/9/11,"$539,050.00 ","$114,000.00 ",complete renovation from fire station to productio co.
Clark Glass Company,6315 N Clark,T-074,Clark Street and Ridge Avenue,4/12/11,"$10,953.00 ","$8,214.75 ",
Deseo Mexican Cantina,6336-40 N Clark,T-074,Clark Street and Ridge Avenue,9/30/10,"$100,000.00 ","$50,000.00 ","Tuckpointing, façade, windows, doors, storefront, floor, fnece, HVAC, porch, electrical, plumbing"
Deseo Mexican Cantina,6336-40 N Clark,T-074,Clark Street and Ridge Avenue,8/18/10,"$366,733.00 ","$100,000.00 ","Tuckpointing, façade, windows, doors, storefront, floor, fnece, HVAC, porch, electrical, plumbing"
Law Offices of Cindy Huang ,6623 N Clark,T-074,Clark Street and Ridge Avenue,3/24/10,"$95,465.00 ","$71,598.75 ","office buildout, roof, signage, floors, bathroom, windows, doors, HVAC, porch"
Koam Autobody Inc ,6330 N Clark,T-074,Clark Street and Ridge Avenue,12/15/09,"$45,000.00 ","$22,500.00 ","Systems Renovations, Interior Renovation, Storefront Repair, Signage"
Sun Hee Lim,5668 N Clark,T-074,Clark Street and Ridge Avenue,11/24/09,"$81,391.38 ","$8,499.90 ",roof
CPN Development Clark LLC,6318 N Clark,T-074,Clark Street and Ridge Avenue,9/24/09,"$50,000.00 ","$4,350.00 ",tuck-pointing
CPN Development Clark LLC,6318 N Clark,T-074,Clark Street and Ridge Avenue,5/15/09,"$49,000.00 ","$36,750.00 ",Roof
Sun Hee Lim,5668 N Clark,T-074,Clark Street and Ridge Avenue,4/1/09,"$39,625.00 ","$29,718.75 ",masonry
M Henry Café ,5707 N Clark,T-074,Clark Street and Ridge Avenue,11/6/08,"$51,969.50 ","$25,984.75 ","landscaping, masonry, structural improvements, carpentry, walls, bathroom, HVAC, Signage"
Metropolis Coffee Co LLC,5545 N Clark,T-074,Clark Street and Ridge Avenue,9/23/08,"$300,000.00 ","$150,000.00 ","office buildout, HVAC, electrical, plumbing, bathrooms, production tables, pallet racks, purchase parking spots"
Sun Hee Lim,5668 N Clark,T-074,Clark Street and Ridge Avenue,9/18/08,"$19,800.00 ","$14,850.00 ","Tuckpointing, brickwork"
Sun Hee Lim,5668 N Clark,T-074,Clark Street and Ridge Avenue,9/18/08,"$82,782.00 ","$62,086.50 ","Interior drycleaning buildout,awnings,"
Pressure Billiards Wahib Merchant,6318 N Clark,T-074,Clark Street and Ridge Avenue,4/18/08,"$15,500.00 ","$8,525.00 ","fence, sign, landscape, HVAC"
Convenience for you Inc,5337 W Madison,T-075,Madison/Austin Corridor,8/25/11,"$25,220.00 ","$18,915.00 ",
Convenience for you Inc,5337 W Madison,T-075,Madison/Austin Corridor,6/3/11,"$38,900.00 ","$29,175.00 ",
Dong Kim Garfield Partners LLC,3913-59 W Madison,T-075,Madison/Austin Corridor,5/18/09,"$373,039.16 ","$150,000.00 ","storefront renovation, signage, awnings, clock tower renovation"
Madison Pine Dental Clinic,5470 W Madison,T-075,Madison/Austin Corridor,3/25/09,"$66,545.00 ","$33,272.50 ","Façade, flooring, renovations"
Madison Pine Dental Clinic,5470 W Madison,T-075,Madison/Austin Corridor,3/25/09,"$86,431.00 ","$43,215.50 ","façade, doors, handicap accessible entrace"
Madison Pine Dental Clinic,5470 W Madison,T-075,Madison/Austin Corridor,6/18/08,"$91,500.00 ","$45,750.00 ","façade, doors, handicap accessible entrace"
GF 6 Mason LLC ,5933-49 W Madison,T-075,Madison/Austin Corridor,6/25/07,"$80,253.47 ","$50,000.00 ","storefront, bathrooms, electrical"
May Medical Center,3857 W Washington,T-075,Madison/Austin Corridor,3/15/07,"$15,406.00 ","$8,473.30 ",Porch
First Start Child Patricia Tyus,19 N Cicero,T-075,Madison/Austin Corridor,11/18/05,"$7,600.00 ","$3,800.00 ","Fire Alarm system, renovations"
The Hair Shop & Spa,4211 W Madison,T-075,Madison/Austin Corridor,1/21/05,"$75,151.63 ","$50,000.00 ",Roof / Masonry / Storefront / Signage / HVAC / Floors / Doors
Brooks Bros Services I,4231 W Madison,T-075,Madison/Austin Corridor,12/21/04,"$162,000.00 ","$50,000.00 ","Adjacent Property Purchase, Façade, Electrical, HVAC, ROOF, Floors"
West End Auto Sales,125 N Cicero,T-075,Madison/Austin Corridor,11/10/04,"$29,313.00 ","$14,656.50 ",Lighting / Signage / Office Renovations / paving / Black top / Fence Work
Madison Pine Dental Clinic,5470 W Madison,T-075,Madison/Austin Corridor,8/18/04,"$21,652.44 ","$10,826.22 ","Façade, flooring, renovations"
West End Auto Sales,125 N Cicero,T-075,Madison/Austin Corridor,8/5/04,"$30,000.00 ","$15,000.00 ",Lighting / Signage / Office Renovations / paving / Black top / Fence Work
Convenience for you Inc,5337 W Madison,T-075,Madison Austin,9/7/11,"$64,120.00 ","$48,090.00 ","plumbing, glass front, concrete floor, framing, and electrical"
See and Save Optical ,2822 W Devon,T-076,Devon/Western,8/24/11,"$6,200.00 ","$4,650.00 ",
Great Chicago Food & Beverage,3149 W Devon,T-076,Devon/Western,8/18/11,"$30,000.00 ","$22,500.00 ",
Uru-Swati Companies LLC,2601 W Devon,T-076,Devon/Western,8/11/11,"$59,756.16 ","$44,817.12 ",Interior renovations
Usmania Restaurant Inc,2253 W Devon,T-076,Devon/Western,5/17/11,"$208,500.00 ","$56,250.00 ","hvac, flooring, plumbing, kitchen, walk in cooler"
Great Chicago Food & Beverage,3149 W Devon,T-076,Devon/Western,5/2/11,"$32,100.00 ","$24,075.00 ",
Usmania Restaurant Inc,2253 W Devon,T-076,Devon/Western,4/12/11,"$95,000.00 ","$71,250.00 ","Replacement of floor for kitchen and bathroom, Wall framing, new bathroom wallsm floor, and light fixtures, Replacement of 3 comp sink"
Uru-Swati Companies LLC,2601 W Devon,T-076,Devon/Western,3/25/11,"$24,000.00 ","$18,000.00 ",
Annapurna Fast Food,2608 W Devon,T-076,Devon/Western,3/4/11,"$350,000.00 ","$123,300.00 ",Complete Renovation
Tel Aviv Kosher Bakery,2944 W Devon,T-076,Devon/Western,10/21/10,"$22,053.28 ","$5,513.32 ",
SHR Properties LLC,2535-39 W Devon,T-076,Devon/Western,9/30/10,"$122,526.00 ","$89,162.50 ","façade, ceiling, floors, HVAC, tuckpointing, rails, lintels, concrete, signs, doors, windows"
See and Save Optical ,2822 W Devon,T-076,Devon/Western,9/20/10,"$7,000.00 ","$5,250.00 ",parking lot paving
Overseas Spices Inc Mehrab #1 Corp,2435-37 W Devon,T-076,Devon/Western,6/20/10,"$46,000.00 ","$23,000.00 ","fiberglass panels, tile, base boards, wall coverings, paint door frames, signage"
SHR Properties LLC,2535-39 W Devon,T-076,Devon/Western,6/20/10,"$60,450.00 ","$45,337.50 ","façade, ceiling, floors, HVAC, tuckpointing, rails, lintels, concrete, signs, doors, windows"
Good Morgan Kosher Fish,2948-50 W Devon,T-076,Devon/Western,5/28/10,"$94,088.52 ","$47,044.26 ","Interior renovation, HVAC, lighting, signage, bathroom"
Great Chicago Food & Beverage,3149 W Devon,T-076,Devon/Western,5/7/10,"$3,150.00 ","$1,575.00 ",HVAC
Overseas Spices Inc Mehrab #1 Corp,2435-37 W Devon,T-076,Devon/Western,3/11/10,"$43,850.00 ","$21,925.00 ","fiberglass panels, tile, base boards, wall coverings, paint door frames, stain doors and railings,"
Tel Aviv Kosher Bakery,2944 W Devon,T-076,Devon/Western,2/5/10,"$3,000.00 ",$750.00 ,
J. K. Kabab House,6412 N. Rockwell St.  ,T-076,Devon/Western,2/5/10,"$31,000.00 ","$15,500.00 ",
See and Save Optical ,2822 W Devon,T-076,Devon/Western,1/26/10,"$17,550.00 ","$13,162.50 ",
Great Chicago Food & Beverage,3149 W Devon,T-076,Devon/Western,10/19/09,"$54,138.96 ","$27,069.48 ",
See and Save Optical ,2822 W Devon,T-076,Devon/Western,10/15/09,"$19,475.00 ","$14,606.25 ",
Great Chicago Food & Beverage,3149 W Devon,T-076,Devon/Western,4/1/09,"$11,779.63 ","$5,889.82 ",
J. K. Kabab House,6412 N. Rockwell St.  ,T-076,Devon/Western,8/14/08,"$67,052.00 ","$33,526.00 ",
Great Chicago Food & Beverage,3149 W Devon,T-076,Devon Western,10/5/11,"$105,235.00 ","$84,000.00 ",renovation of the dining room and kitchen
Sunny 2000 Corp,5524-26 N Lincoln,T-077,Lincoln Avenue,6/24/11,"$300,000.00 ","$150,000.00 ",Build out
Steinhardt Builders Inc,6252 N Lincoln,T-077,Lincoln Avenue,6/3/11,"$65,450.00 ","$49,087.50 ",
Jilee Insurance ,5814 N Lincoln,T-077,Lincoln Avenue,4/8/10,"$1,434.96 ",$717.48 ,Lunch room
Jilee Insurance ,5814 N Lincoln,T-077,Lincoln Avenue,2/23/10,"$14,349.68 ","$7,174.84 ",Lunch room
Jilee Insurance ,5814 N Lincoln,T-077,Lincoln Avenue,7/21/09,"$11,000.00 ","$5,500.00 ",ROOF
Jilee Insurance ,5814 N Lincoln,T-077,Lincoln Avenue,1/26/09,"$65,253.82 ","$32,626.91 ","Floor, sign, door, granite, storefront, windows, misc."
Lincoln Norabang Restaurant ,5524-28 N Lincoln,T-077,Lincoln Avenue,12/3/08,"$63,000.00 ","$46,439.25 ","Roof, HVAC, Windows"
Aqua World USA Inc ,5419 N Lincoln,T-077,Lincoln Avenue,4/21/08,"$99,800.00 ","$50,000.00 ","Store fronts, signs, parking lot paved, roof, windows, doors, bathrooms, electrical, HVAC, Drop ceilings"
Steinhardt Builders Inc,6252 N Lincoln,T-077,Lincoln,10/4/11,"$134,139.50 ","$100,604.62 ","electrical, framing, insulation, windows, drywall, painting, siding, masonry, HVAC, roofing"
Joann Ruiz,5637-41 N Lincoln,T-077,Lincoln,10/6/11,"$219,500.00 ","$150,000.00 ",Complete rehab
Grota Restaurant,3108-3112 N Central,T-081,Belmont/Central,2/1/11,"$211,500.00 ","$105,750.00 ","windows, signage, awning, lighting, tuckpointing, floors, HVAC"
Central Gyros Corp,3127 N Central,T-081,Belmont/Central,8/16/10,"$22,206.00 ","$11,103.00 ","storefront, floor, roof, canopy, interior remodeling"
Central Gyros Corp,3127 N Central,T-081,Belmont/Central,7/2/10,"$7,000.00 ","$3,500.00 ","storefront, floor, roof, canopy, interior remodeling"
Dream Factory Salon & Spa Inc,5635 W Belmont,T-081,Belmont/Central,5/24/10,"$75,732.84 ","$37,866.42 ","plumbing, electrical. HVAC, flooring, painting"
Mamma Mia Chicago Grill Inc,3133 N Central,T-081,Belmont/Central,4/15/10,"$174,754.00 ","$87,377.00 ",Complete Renovation
Central Gyros Corp,3127 N Central,T-081,Belmont/Central,3/3/10,"$9,500.00 ","$4,750.00 ","storefront, floor, roof, canopy, interior remodeling"
Galewood Enterprises,5504-5510 W Fullerton,T-081,Belmont/Central,12/18/09,"$50,435.00 ","$25,217.50 ","plumbing, carpentry, windows, electrical,"
Galewood Enterprises,5504-5510 W Fullerton,T-081,Belmont/Central,12/18/09,"$114,910.00 ","$32,792.62 ","storefront, fence, masonry, electrical, plumbing"
Galewood Enterprises,5504-5510 W Fullerton,T-081,Belmont/Central,11/16/09,"$93,574.32 ","$46,787.16 ","storefront, HVAC, fence, masonry, electrical,"
Kelly Rauch Sole Proprietor,5450 W Belmont,T-081,Belmont/Central,10/23/09,"$44,259.57 ","$22,129.79 ","fencing, electrical, parking"
Galewood Enterprises,5504-5510 W Fullerton,T-081,Belmont/Central,9/22/09,"$90,405.43 ","$45,202.72 ","roof, interior"
Kelly Rauch Sole Proprietor,5450 W Belmont,T-081,Belmont/Central,8/26/09,"$55,295.68 ","$27,647.84 ","tuckpointing, roof, storefront, windows, dorr,"
Someone's Treasure LLC ,5604 W Belmont,T-081,Belmont/Central,7/10/09,"$54,466.00 ","$40,849.50 ","Carpentry,"
Someone's Treasure LLC ,5604 W Belmont,T-081,Belmont/Central,2/11/09,"$10,105.00 ","$7,578.75 ","HVAC, storefront, signage, awning"
Jerome Kadleck DDS,5236 W Belmont,T-081,Belmont/Central,10/14/08,"$37,910.00 ","$18,955.00 ","façade/storefront renovation, roofing repair, doors, parking lot paving"
Tony Cristofano,5401-5407 W Belmont,T-081,Belmont/Central,4/22/05,"$30,084.68 ","$15,042.34 ",Roof / Façade / ADA Door / HVAC
Mike O'Malley,5159 W Fullerton,T-081,Belmont/Central,4/13/05,"$10,000.00 ","$5,000.00 ",HVAC
Mike O'Malley,5159 W Fullerton,T-081,Belmont/Central,9/27/04,"$15,950.00 ","$15,950.00 ","Rehab Exterior, Landscaping"
T & J Plumbing Inc,5251 W Belmont,T-081,Belmont/Central,9/27/04,"$37,804.00 ","$18,902.00 ",Roof / Window Replacement
Krzysztof Dental ,6033 W Belmont,T-081,Belmont/Central,8/18/04,"$8,100.00 ","$4,050.00 ",Parking Lot / HVAC / Front Door
Ziggy Kruczalak,5507 W Belmont,T-081,Belmont/Central,5/24/04,"$58,900.00 ","$44,175.00 ",Windows / Doors / Façade
Mike O'Malley,5159 W Fullerton,T-081,Belmont/Central,5/24/04,"$23,215.00 ","$11,607.50 ","Parking Lot, Tuckpoint"
Hispanic Regional Clinics,5544 W Belmont,T-081,Belmont Central,10/3/11,"$44,200.00 ","$21,120.00 ",façade
Drummond Industries Inc,2616 N Cicero,T-082,Belmont/Cicero,3/29/11,"$18,494.00 ","$7,010.85 ","windows, doors, and tuck-pointing"
Drummond Industries Inc,2616 N Cicero,T-082,Belmont/Cicero,3/29/11,"$274,083.57 ","$142,989.15 ","façade, storefront, roof, windows"
La Parrilla Columbian Steak House,6427 W Irving Park Rd,T-083,West Irving Park,8/18/11,"$31,916.69 ","$8,914.10 ","flooring, build-out, bathrooms, ceilings, storefront, awning, lighting, door, plumbing, electrical, ventilation, security system"
La Parrilla Columbian Steak House,6427 W Irving Park Rd,T-083,West Irving Park,3/22/11,"$84,303.00 ","$63,227.25 ","flooring, build-out, bathrooms, ceilings, storefront, awning, lighting, door, plumbing, electrical, ventilation, security system"
State Farm Insurance,5616 W Montrose,T-083,West Irving Park,10/29/10,"$2,896.00 ","$2,172.00 ","awning, aluminum capping, exterior trim"
5621 W Irving Park Inc,5621 W Irving Park,T-083,West Irving Park,9/22/10,"$16,560.00 ","$8,280.00 ",parapet wall
Vital Rehabilitation,5820 W Irving Park Rd,T-083,West Irving Park,8/16/10,"$486,920.00 ","$133,903.00 ","Addition of a second story, parking lot"
State Farm Insurance,5616 W Montrose,T-083,West Irving Park,7/26/10,"$12,000.00 ","$9,000.00 ","Frontal face repair, flashing masonry, tuckpointing, water damage prevention"
5621 W Irving Park Inc,5621 W Irving Park,T-083,West Irving Park,7/20/10,"$33,567.78 ","$15,214.42 ","drain, seepage."
Rudy's Cyclery Inc ,5711 W Irving Park Rd,T-083,West Irving Park,7/17/10,"$10,550.00 ","$7,912.50 ","Removal of insulation, apply new installation and fire barrier"
5621 W Irving Park Inc,5621 W Irving Park,T-083,West Irving Park,11/23/09,"$80,319.00 ","$40,159.50 ","HVAC, tuckpointing, façade, ADA accessible, structural supports, flooring, drywall"
Rudy's Cyclery Inc ,5711 W Irving Park Rd,T-083,West Irving Park,3/16/09,"$15,100.00 ","$7,550.00 ",Roof
Rudy's Cyclery Inc ,5711 W Irving Park Rd,T-083,West Irving Park,1/26/07,"$16,328.15 ","$8,125.68 ","Façade, roof, doors, tuck point, sign"
Time Treasures Antiques Inc,6021-6025 W Irving Park Rd,T-083,West Irving Park,10/24/11,"$27,375.00 ","$20,531.25 ","HVAC, roofing, electrical, façade, flooring at 6021 W. Irving Park"
Lincoln Square Athletic Club LLC,4662 N Lincoln,T-084,Western Ave North,8/25/11,"$647,280.23 ","$50,000.00 ",Complete Renovation
Gateway to Learning,4925 N Lincoln,T-084,Western Ave North,6/15/11,"$75,800.00 ","$37,900.00 ",HVAC
2016 Iowa LLC,4735 N Damen,T-084,Western Ave North,5/18/11,"$245,700.00 ","$10,000.00 ",Complete Renovation of two commercial spaces
Ifeta Redzovic,4900 N Lincoln,T-084,Western Ave North,4/13/11,"$39,600.00 ","$29,700.00 ","windows, doors, roofing, siding"
Lincoln Square Athletic Club LLC,4662 N Lincoln,T-084,Western Ave North,3/29/11,"$647,280.23 ","$100,000.00 ",Complete Renovation
Hank Tajkowski,4606 N Western,T-084,Western Ave North,2/17/11,"$47,500.00 ","$39,187.00 ",Roofing
Total Image Salon & Spa,4452 N Western,T-084,Western Ave North,2/17/11,"$76,103.43 ","$38,051.72 ",Complete Renovation
Richard Romanow,4644 N Lincoln,T-084,Western Ave North,2/4/11,"$112,057.00 ","$53,090.00 ","Electrical, HVAC, walls,floors,tuck pointing, pave parking lot,alarm,bathroom"
Ifeta Redzovic,4900 N Lincoln,T-084,Western Ave North,5/19/10,"$5,500.00 ","$4,125.00 ","tuckpointing, windows"
Bania Ancheta,4917 N Lincoln,T-084,Western Ave North,5/18/10,"$46,950.00 ","$23,475.00 ","HVAC, flooring, drywall, signage, insulation, ADA bathrooms, electrical, lighting, windows, plumbing, carpentry"
Richard Romanow,4644 N Lincoln,T-084,Western Ave North,5/18/10,"$202,163.90 ","$96,910.00 ","Electrical, HVAC, walls,floors,tuck pointing, pave parking lot,alarm,bathroom"
Ifeta Redzovic,4900 N Lincoln,T-084,Western Ave North,2/26/10,"$45,000.00 ","$33,750.00 ","tuckpointing, windows"
Garcia's Resturant Luis Garcia,4760 N Lincoln,T-084,Western Ave North,1/28/10,"$305,000.00 ","$150,000.00 ","Complete Rehab, plumbing, electrical, HVAC, masonry, drywall, floor, roof,"
Hank Tajkowski,4606 N Western,T-084,Western Ave North,10/9/09,"$106,500.00 ","$87,862.50 ","Complete Rehab, plumbing, electrical, trim work"
Eye See Ravenswood ,4735 N Damen,T-084,Western Ave North,10/7/09,"$2,189.00 ","$1,094.50 ",awning
2016 Iowa LLC,4735 N Damen,T-084,Western Ave North,6/30/09,"$245,700.00 ","$40,000.00 ",Complete Renovation of two commercial spaces
DANK Haus,4740 N Western,T-084,Western Ave North,6/17/09,"$175,578.00 ","$87,789.00 ","Roofing, Elevator Repair, Storefront, Entryway renovation"
T Salon & Gallery ,4705 N Damen,T-084,Western Ave North,5/18/09,"$3,073.80 ","$1,536.90 ","awning, storefront, front door glass"
Eye See Ravenswood ,4735 N Damen,T-084,Western Ave North,5/18/09,"$85,484.00 ","$42,742.00 ","Complete renovation, security alarm, cabinetry and shelving"
Savvy Seconds Inc ,2707 W Lawrence,T-084,Western Ave North,3/29/09,"$1,300.00 ",$650.00 ,"lighting,"
Piggy Toes ,4548 N Western,T-084,Western Ave North,5/8/08,"$21,942.55 ","$10,828.15 ","Replace window frames and resize glass, install new door"
Paws & Claws Daycare Inc,5015 N Western,T-084,Western Ave North,12/10/07,"$380,000.00 ","$149,999.00 ",Purchase adjacent property for expansion of business
Seyed M Dehnavifar,2200 W Lawrence,T-084,Western Ave North,3/22/07,"$150,000.00 ","$50,000.00 ","HVAC, kitchen hood, concrete, oak floor, electric, signage, plumbing"
Paws & Claws Daycare Inc,5015 N Western,T-084,Western Ave North,9/1/06,"$32,500.00 ","$24,375.00 ","sidewalks, windows, HVAC, façade, tuckpointing, roof?"
DANK Haus,4740 N Western,T-084,Western Ave North,6/14/06,"$104,065.00 ","$50,000.00 ","Roof repair, heating & air conditioning modernization, elevator repair"
OnCall Interactive ,2247 W Lawrence,T-084,Western Ave North,2/14/06,"$100,000.00 ","$26,248.33 ",Interior Renovations
Cambodian Assoc Of IL,2831 W Lawrence,T-084,Western Ave North,9/14/04,"$105,820.00 ","$50,000.00 ",Interior and exterior renovations
Franklin's Restaurant,4767 N Lincoln,T-084,Western Ave North,6/8/04,"$700,000.00 ","$50,000.00 ","Complete Renovation, for new restaurant"
Lincoln Square Athletic Club LLC,4662 N Lincoln,T-084,Western Ave North,9/9/11,"$1,294,560.46 ","$150,000.00 ",Complete Renovation
DANK Haus,4740 N Western,T-084,Western Ave North,9/22/11,"$16,580.00 ","$12,435.00 ","fire doors, chimney,"
